,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
17222,A1,,Cocktail,,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon juice,Grenadine,,,44 ml,25 ml,6 ml,3 ml ,,,,,alcohol drink
17225,Ace,,Cocktail,,Alcoholic,Cocktail glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg white,,50 ml,12.5 ml,12.5 ml,12.5 ml,1,,,,cream ingredient
14610,ACID,,Shot,,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,29.5 ml ,29.5 ml,,,,,,,solid ingredient
17837,Adam,"Alcoholic,Holiday",Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,59 ml,29.5 ml,5 ml,,,,,,
13938,AT&T,,Ordinary Drink,,Alcoholic,Highball glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Vodka,Gin,Tonic Water,,,,29.5 ml,29.5 ml,118 ml,,,,,,
17833,A. J.,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,44.25 ml,29.5 ml,,,,,,,
15266,Avalon,,Ordinary Drink,,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, Lemon and apple juices, Pisang Ambon, and top up with Lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,88.5 ml,29.5 ml,177 ml ,44.25 ml,14.75 ml,,,,
15106,Apello,,Other / Unknown,,Non alcoholic,Collins glass,Stirr. Garnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,40 ml,30 ml,10 ml,1,,,,,
17839,Affair,,Ordinary Drink,,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Soda Water,,,59 ml,59 ml,59 ml,188 ml,,,,,
17835,Abilene,,Ordinary Drink,,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,44.25 ml,59 ml,88.5 ml,,,,,,
11023,Almeria,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,59 ml,29.5 ml,1,,,,,,
17228,Addison,,Cocktail,,Alcoholic,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,37.5 ml,37.5 ml,,,,,,,
11046,Applecar,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
17836,Acapulco,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,44.25 ml,7.5 ml,15 ml ,3.5 gr,1,1,,,
17840,Affinity,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Vermouth,Orange bitters,,,,44.25 ml,59 ml,1.6 ml,,,,,,
17180,Aviation,"IBA,Classic",Cocktail,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,Gin,Lemon juice,Maraschino liqueur,,,,4.50 ml,15 ml,15 ml,,,,,,
15182,After sex,,Ordinary Drink,,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,30 ml,30 ml,90 ml,,,,,,
16311,Applejack,,Cocktail,,Alcoholic,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Jack Daniels,Midori melon liqueur,Sour mix,,,,29.5 ml,14.75 ml,59 ml,,,,,,
12560,Afterglow,,Cocktail,,Non alcoholic,Highball glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,29.5 ml,118 ml,118 ml ,,,,,,
13162,Afternoon,,Coffee / Tea,,Alcoholic,Collins glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Cream,Coffee,,10 ml,10 ml,44.25 ml ,15 ml,40 ml ,,,,
11014,Alexander,"IBA,Classic,Dairy",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,14.75 ml,14.75 ml ,59 ml,0.8 gr,,,,,
12756,Autodafé,,Ordinary Drink,,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Vodka,Lime juice,Soda Water,,,,40 ml,0.8 ml,295 ml,,,,,,
11021,Allegheny,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except Lemon peel) with ice and strain into a cocktail glass. Top with the twist of Lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,29.5 ml,29.5 ml,7.5 ml,7.5 ml,1,,,,
15941,Americano,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,Campari,Vermouth,Lemon peel,Orange peel,,,29.5 ml,29.5 ml,1,1,,,,,
13332,B-53,,Shot,,Alcoholic,Shot glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,8.3 ml ,8.3 ml ,8.3 ml ,,,,,,
17254,Bijou,,Cocktail,,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange bitters,Green Chartreuse,Gin,Vermouth,,,0.8 ml,29.5 ml,29.5 ml,29.5 ml,,,,,
11149,Boxcar,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,44.25 ml,29.5 ml,5 ml,2.5 ml,1,,,,
13222,Big Red,,Shot,,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,14.75 ml,14.75 ml,,,,,,,
17195,Bellini,"ContemporaryClassic,IBA",Ordinary Drink,Contemporary Classics,Alcoholic,Champagne flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,177 ml,29.5 ml,,,,,,,
